country_code,year,poor,population,region_name,country_name,effective_headcount
ABW,1981,822.814090121676,61000,Other High Income Countries,Aruba,0.0134887555757652
AFG,1981,11435178.4915717,13054000,South Asia,Afghanistan,0.875990385442908
AGO,1981,2881666.5,9245000,Sub-Saharan Africa,Angola,0.3117
ALB,1981,202737.6,2736000,Europe & Central Asia,Albania,0.0741
AND,1981,512.572711879077,38000,Other High Income Countries,Andorra,0.0134887555757652
ARE,1981,0,1121000,Other High Income Countries,United Arab Emirates,0
ARG,1981,306762,23780000,Latin America & Caribbean,Argentina,0.0129
ARM,1981,475033.2,3148000,Europe & Central Asia,Armenia,0.1509
ASM,1981,445.128934000251,33000,Other High Income Countries,American Samoa,0.0134887555757652
ATG,1981,984.679157030859,73000,Other High Income Countries,Antigua and Barbuda,0.0134887555757652
AUS,1981,185487.5,14839000,Other High Income Countries,Australia,0.0125
AUT,1981,38025,7605000,Other High Income Countries,Austria,0.005
AZE,1981,575625,6250000,Europe & Central Asia,Azerbaijan,0.0921
BDI,1981,3992424.2,4223000,Sub-Saharan Africa,Burundi,0.9454
BEL,1981,49400,9880000,Other High Income Countries,Belgium,0.005
BEN,1981,3232102,3820000,Sub-Saharan Africa,Benin,0.8461
BFA,1981,6508157.6,6986000,Sub-Saharan Africa,Burkina Faso,0.9316
BGD,1981,70015872.3,83721000,South Asia,Bangladesh,0.8363
BGR,1981,12467,8905000,Europe & Central Asia,Bulgaria,0.0014
BHR,1981,5044.79458533618,374000,Other High Income Countries,Bahrain,0.0134887555757652
BHS,1981,2900.08244878952,215000,Other High Income Countries,"Bahamas, The",0.0134887555757652
BIH,1981,352620.5,4223000,Europe & Central Asia,Bosnia and Herzegovina,0.0835
BLR,1981,1068940,9700000,Europe & Central Asia,Belarus,0.1102
BLZ,1981,83649.6,148000,Latin America & Caribbean,Belize,0.5652
BMU,1981,768.859067818616,57000,Other High Income Countries,Bermuda,0.0134887555757652
BOL,1981,1426286.4,5712000,Latin America & Caribbean,Bolivia,0.2497
BRA,1981,53172089.7,124031000,Latin America & Caribbean,Brazil,0.4287
BRB,1981,3412.65516066859,253000,Other High Income Countries,Barbados,0.0134887555757652
BRN,1981,2697.75111515304,2e+05,Other High Income Countries,Brunei Darussalam,0.0134887555757652
BTN,1981,338568.2,421000,South Asia,Bhutan,0.8042
BWA,1981,730233,1038000,Sub-Saharan Africa,Botswana,0.7035
CAF,1981,2102207.9,2347000,Sub-Saharan Africa,Central African Republic,0.8957
CAN,1981,247910,24791000,Other High Income Countries,Canada,0.01
CHE,1981,44212,6316000,Other High Income Countries,Switzerland,0.007
CHI,1981,1740.04946927371,129000,Other High Income Countries,Channel Islands,0.0134887555757652
CHL,1981,3694797,11439000,Latin America & Caribbean,Chile,0.323
CHN,1981,1004673600,1.008e+09,East Asia & Pacific,China,0.9967
CIV,1981,1657614.5,8665000,Sub-Saharan Africa,Cote d'Ivoire,0.1913
CMR,1981,5960493,8883000,Sub-Saharan Africa,Cameroon,0.671
COD,1981,23733008,27040000,Sub-Saharan Africa,"Congo, Dem. Rep.",0.8777
COG,1981,1372581.8,1894000,Sub-Saharan Africa,"Congo, Rep.",0.7247
COL,1981,8674543.2,28376000,Latin America & Caribbean,Colombia,0.3057
COM,1981,117765.5,317000,Sub-Saharan Africa,Comoros,0.3715
CPV,1981,228636,292000,Sub-Saharan Africa,Cabo Verde,0.783
CRI,1981,1090312.2,2454000,Latin America & Caribbean,Costa Rica,0.4443
CUB,1981,3037789.08103501,9885000,Latin America & Caribbean,Cuba,0.307313007691959
CUW,1981,2009.82458078901,149000,Other High Income Countries,Curacao,0.0134887555757652
